P0,ndot,tads,alpha,beta,PI,Pl,purity_s1,recovery_s1,productivity_s1,energy_s1,purity_s2,recovery_s2,productivity_s2,energy_s2,purity_s3,recovery_s3,productivity_s3,energy_s3,final_purity,final_recovery,overall_recovery
221215.8203125,1.1185302734375,251.4990234375,0.17434082031250003,0.1434326171875,100696.25556468964,5158.203125,0.2832110748205995,0.9997900001320229,3.863329241692895e-5,291.4398716660148,0.457195937738473,0.9998132151621644,7.738177692376569e-5,171.09100419978503,0.6269300654052199,0.999721770439435,0.00013865276023690545,118.48339230711944,0.6269300654052199,0.999721770439435,0.9993251353447344
221435.546875,1.772216796875,126.240234375,0.142626953125,0.28852539062500004,63710.33048629761,9058.59375,0.27676105342155477,1.0001176519831894,6.253223233506422e-5,244.13476579681296,0.4408352814661243,1.0000005521441813,0.00012287668417418194,145.93971229707873,0.6021470377808994,1.000079037069132,0.0002181190331748665,101.43678482318516,0.6021470377808994,1.000079037069132,1.0001972506039765
221508.7890625,0.7449951171875,193.3935546875,0.32814941406250003,0.19411621093750003,58120.56052684784,9681.640625,0.2158746241451477,1.0005492696125677,3.357049715238856e-5,275.0893892193194,0.2970306496496847,1.000342185218576,5.026470102363549e-5,196.96498625596433,0.387971290744527,1.0003262033690754,7.298244739960167e-5,148.35110683539634,0.387971290744527,1.0003262033690754,1.0012181370090416
221728.515625,0.651611328125,289.931640625,0.101318359375,0.26772460937500003,75974.2522239685,6550.78125,0.265735939910356,0.999925861758336,2.662007532985849e-5,249.73857740846904,0.4156446051288044,1.000070722810005,5.0245733653280926e-5,156.7258816598057,0.5657273262179853,0.9998477031423497,8.714749840595594e-5,112.24479045572359,0.5657273262179853,0.9998477031423497,0.9998442829883839
221801.7578125,1.8656005859375,390.2880859375,0.3718017578125,0.24948730468750002,42761.81876659393,6173.828125,0.31027880680619774,0.9985671873738247,5.099868946441535e-5,393.5725181917714,0.5279532562248189,0.999192478862504,0.00010984487033249772,200.9523148248087,0.7303551697540461,0.9994648344083076,0.00020236483064805497,125.57222048852087,0.7303551697540461,0.9994648344083076,0.9972268560014614
222021.484375,0.925537109375,280.966796875,0.17719726562500002,0.167236328125,19946.631908416748,4011.71875,0.2757444635373588,0.9996493522866611,3.322950684927459e-5,310.8991191666624,0.44060107001027654,0.9997498966611096,6.475712131123939e-5,186.69599388120807,0.6037210931961134,0.9996488122120227,0.00011445512081890836,130.3214019373538,0.6037210931961134,0.9996488122120227,0.9990483598035919
222094.7265625,1.5799560546875,383.9794921875,0.29592285156250003,0.33649902343750004,93251.31118297577,4634.765625,0.33621984536085125,0.9988987674521104,4.486460347539866e-5,385.02906852742467,0.5809046725988541,0.9992319110904486,0.00010622072567641494,187.39377740122347,0.7826099350880765,0.9994552188302533,0.00020560436201470976,119.42030024438631,0.7826099350880765,0.9994552188302533,0.9975877611276492
222314.453125,1.299072265625,137.861328125,0.21791992187500003,0.126513671875,5974.465847015381,3503.90625,0.23744657477895695,0.9997034082953393,5.169812357710073e-5,331.13040941339443,0.34829526480063655,0.9997459879972356,8.584813589918745e-5,222.9177750649204,0.4692308345715003,0.999800268770191,0.0001354099079609867,162.9825400537817,0.4692308345715003,0.999800268770191,0.9992498503583271
222607.421875,1.672607421875,334.755859375,0.27973632812500004,0.21704101562500003,69196.01774215698,7027.34375,0.318373860534137,0.999543383862235,4.8060151604077386e-5,327.9056832894981,0.5429107108567038,0.9996736350091339,0.00010721665233520305,168.0661779052608,0.7421019344922155,0.9997157345809415,0.00020203624212310323,108.26127861706058,0.7421019344922155,0.9997157345809415,0.9989331250079284
222680.6640625,0.8328857421875,266.4404296875,0.24963378906250003,0.27263183593750007,51268.01002025604,7650.390625,0.2556887995279225,1.0002665971645808,3.16013419342247e-5,287.90187382026204,0.39220170597894927,1.0001581738853726,5.6776884114959296e-5,179.497844636906,0.5362343593279866,1.0001379227590106,9.476697022440115e-5,125.24300401180791,0.5362343593279866,1.0001379227590106,1.0005627945690847
