P0,ndot,tads,alpha,beta,PI,Pl,purity_s1,recovery_s1,productivity_s1,energy_s1,final_purity,final_recovery,overall_recovery
170166.015625,1.143798828125,157.119140625,0.13413085937500002,0.20678710937500003,40646.676540374756,2425.78125,0.27621750886488333,0.9995125109832689,4.106442745037761e-5,299.7749745973171,0.27621750886488333,0.9995125109832689,0.9995125109832689
170239.2578125,1.4202880859375,98.1005859375,0.3952392578125,0.30104980468750003,45707.74161815643,2798.828125,0.22412816915065942,0.9998658101745946,5.3845687845637995e-5,404.5239299206072,0.22412816915065942,0.9998658101745946,0.9998658101745946
170458.984375,1.558349609375,286.279296875,0.29438476562500004,0.125048828125,54942.786693573,2636.71875,0.3014549593929745,0.9991118373712164,4.433418736630843e-5,398.6346588835179,0.3014549593929745,0.9991118373712164,0.9991118373712164
170532.2265625,0.9002685546875,399.9169921875,0.17873535156250003,0.36931152343750007,28413.573145866394,2009.765625,0.3490325590608051,0.9989699187176746,2.7382913373569774e-5,349.38822469850845,0.3490325590608051,0.9989699187176746,0.9989699187176746
170751.953125,1.181884765625,132.548828125,0.250732421875,0.168701171875,45840.18850326538,5128.90625,0.24336725682069885,1.0000247684002388,4.398240412695582e-5,286.7664766231161,0.24336725682069885,1.0000247684002388,1.0000247684002388
171044.921875,0.805419921875,318.818359375,0.24692382812500002,0.193603515625,18135.867595672607,9652.34375,0.2844834473828956,1.0003201995058135,2.6429311028351143e-5,238.6468519008939,0.2844834473828956,1.0003201995058135,1.0003201995058135
171118.1640625,1.6531982421875,261.1279296875,0.2824462890625,0.3241943359375,80682.30140209198,9025.390625,0.3320398050487493,1.0000016980871738,4.682798772247383e-5,269.71954114048225,0.3320398050487493,1.0000016980871738,1.0000016980871738
171337.890625,1.934814453125,185.009765625,0.20327148437500003,0.21264648437500003,25831.483364105225,6144.53125,0.32746809355513307,0.9997834046285201,5.60966126978731e-5,264.7837263896415,0.32746809355513307,0.9997834046285201,0.9997834046285201
171411.1328125,0.5238037109375,75.5224609375,0.32375488281250003,0.2694091796875,69755.83732128143,6517.578125,0.17850041126442664,1.0007852103973771,4.095470192698192e-5,263.04593703738533,0.17850041126442664,1.0007852103973771,1.0007852103973771
171630.859375,0.943115234375,207.919921875,0.164306640625,0.25981445312500007,28899.665355682373,9480.46875,0.284127610319113,1.0003941088039539,3.312055518369911e-5,215.63282155795437,0.284127610319113,1.0003941088039539,1.0003941088039539
171704.1015625,1.5975341796875,138.2763671875,0.3439697265625,0.24157714843750003,62751.91009044647,9853.515625,0.2562114607605444,1.0003703168880702,5.1795652655619695e-5,264.89675290523707,0.2562114607605444,1.0003703168880702,1.0003703168880702
171923.828125,1.316650390625,383.564453125,0.12299804687500002,0.29643554687500007,37480.714321136475,6972.65625,0.4152698642322437,0.9993692685321814,3.6841037862786665e-5,226.5538013284087,0.4152698642322437,0.9993692685321814,0.9993692685321814
171997.0703125,1.2239990234375,280.7177734375,0.38762207031250007,0.2020263671875,51753.262400627136,6345.703125,0.268004575258422,0.9998795612829711,3.6949845544004145e-5,337.1020269905138,0.268004575258422,0.9998795612829711,0.9998795612829711
172216.796875,1.690185546875,70.458984375,0.37934570312500004,0.34711914062500004,85985.91947555542,2496.09375,0.219258991013441,0.9998358008824285,6.585425233900403e-5,405.10775297693954,0.219258991013441,0.9998358008824285,0.9998358008824285
172290.0390625,0.8504638671875,169.4873046875,0.1101806640625,0.14020996093750002,6996.338725090027,2869.140625,0.25854958286834095,0.9994894376635728,3.398140846417321e-5,277.9330663393284,0.25854958286834095,0.9994894376635728,0.9994894376635728
172509.765625,0.569580078125,266.025390625,0.33803710937500003,0.3966308593750001,75084.969997406,5988.28125,0.24170975629432506,1.0001703163447924,2.285073731715609e-5,307.64303544478105,0.24170975629432506,1.0001703163447924,1.0001703163447924
172583.0078125,1.9710693359375,334.5068359375,0.1538330078125,0.11589355468750001,20357.910990715027,5361.328125,0.4117943894271921,0.9973015317544359,5.203521884504326e-5,256.909172497802,0.4117943894271921,0.9973015317544359,0.9973015317544359
172802.734375,0.679443359375,108.310546875,0.10922851562500001,0.230517578125,54282.52363204956,4074.21875,0.21199462039889605,1.0000844966357474,3.7164573271106365e-5,261.49621607868636,0.21199462039889605,1.0000844966357474,1.0000844966357474
172875.9765625,1.8963623046875,211.3232421875,0.3638916015625,0.28728027343750007,40199.400782585144,4697.265625,0.29361416358190195,0.9995981067433165,5.426466872981084e-5,372.48700384416924,0.29361416358190195,0.9995981067433165,0.9995981067433165
173095.703125,1.802978515625,305.205078125,0.14057617187500002,0.17573242187500002,65761.971950531,3566.40625,0.4013368891817226,0.9986540888323828,4.924485527941891e-5,280.297304713949,0.4013368891817226,0.9986540888323828,0.9986540888323828
173168.9453125,0.7728271484375,375.0146484375,0.3302001953125,0.30632324218750007,28252.751231193542,3189.453125,0.2803438696361277,0.9995067064647423,2.4975396163176544e-5,389.2579755763673,0.2803438696361277,0.9995067064647423,0.9995067064647423
173388.671875,1.426513671875,162.099609375,0.36176757812500004,0.163134765625,17856.662273406982,7089.84375,0.24733024549038016,1.0001434951483237,4.6666681834650125e-5,302.82154758669424,0.24733024549038016,1.0001434951483237,1.0001434951483237
173461.9140625,1.1492919921875,93.7841796875,0.1676025390625,0.33122558593750007,72435.94062328339,7712.890625,0.23395516184847182,1.0005940837981628,4.895643034632136e-5,231.82125839135068,0.23395516184847182,1.0005940837981628,1.0005940837981628
173681.640625,1.055908203125,336.416015625,0.39311523437500007,0.130615234375,9002.366542816162,8582.03125,0.2602251200676453,1.0000348706686137,3.188519290737713e-5,303.46343336039564,0.2602251200676453,1.0000348706686137,1.0000348706686137
173754.8828125,1.5198974609375,237.5537109375,0.1339111328125,0.3748779296875,82709.49637889862,8205.078125,0.3682081348402304,0.9996872510635458,4.4797090011565894e-5,221.88382354265727,0.3682081348402304,0.9996872510635458,0.9996872510635458
173974.609375,1.822021484375,359.326171875,0.27446289062500007,0.384033203125,47119.45295333862,7792.96875,0.3840562857084002,0.9984460245353147,4.8478576538925344e-5,294.0455927890781,0.3840562857084002,0.9984460245353147,0.9984460245353147
174047.8515625,0.6014404296875,300.3076171875,0.23381347656250004,0.1032958984375,51009.89806652069,7416.015625,0.252481549599034,1.0002033342652934,2.25555718344982e-5,251.86820251354519,0.252481549599034,1.0002033342652934,1.0002033342652934
174267.578125,0.695556640625,226.845703125,0.30815429687500007,0.359716796875,36890.88582992554,8285.15625,0.2459950206264275,1.0004414351625104,2.7106982646928333e-5,268.8219448489969,0.2459950206264275,1.0004414351625104,1.0004414351625104
174340.8203125,1.7279052734375,113.3740234375,0.20246582031250002,0.15280761718750002,62694.363474845886,8908.203125,0.26833533759518563,1.0002121420904848,5.758651991463436e-5,230.52673036275462,0.26833533759518563,1.0002121420904848,1.0002121420904848
174560.546875,1.069091796875,243.115234375,0.189501953125,0.29790039062500007,67185.85538864136,4808.59375,0.3034668059011951,0.9998195156800023,3.492757623350955e-5,279.0154635268217,0.3034668059011951,0.9998195156800023,0.9998195156800023
174633.7890625,1.3543701171875,352.7685546875,0.3000244140625,0.20349121093750003,20842.759013175964,4431.640625,0.3133560638670459,0.9993375614833637,3.849651981547154e-5,349.3829206717945,0.3133560638670459,0.9993375614833637,0.9993375614833637
174853.515625,1.448486328125,88.056640625,0.223193359375,0.25834960937500007,77691.47634506226,3300.78125,0.23475386496799527,0.9998104983435181,5.70248978892231e-5,315.95657668008965,0.23475386496799527,0.9998104983435181,0.9998104983435181
174926.7578125,0.9749755859375,145.9130859375,0.2686767578125,0.24011230468750003,9614.144206047058,3923.828125,0.2357567332211236,0.9999359001447727,3.8831855205770846e-5,319.11316196569544,0.2357567332211236,0.9999359001447727,0.9999359001447727
175146.484375,1.066162109375,121.591796875,0.28032226562500007,0.364111328125,77210.7310295105,9261.71875,0.23621199604595589,1.0007566518635491,4.290722169400845e-5,248.76618161554478,0.23621199604595589,1.0007566518635491,1.0007566518635491
175219.7265625,1.3455810546875,224.6044921875,0.24904785156250003,0.1208740234375,23604.308009147644,9884.765625,0.2890131807437324,1.0001725218196944,4.147242724130292e-5,240.29148473188943,0.2890131807437324,1.0001725218196944,1.0001725218196944
175439.453125,1.439697265625,297.236328125,0.321044921875,0.342138671875,87047.64699935913,6753.90625,0.3183046056607463,0.9997317823886412,4.149779941259567e-5,317.2240359008237,0.3183046056607463,0.9997317823886412,0.9997317823886412
175732.421875,1.813232421875,154.130859375,0.17661132812500002,0.320166015625,34582.12614059448,2277.34375,0.31374875971465427,0.9993155650018558,5.6138335962556e-5,335.8472887512249,0.31374875971465427,0.9993155650018558,0.9993155650018558
175805.6640625,0.5985107421875,85.8154296875,0.2965087890625,0.18825683593750003,51938.66431713104,2900.390625,0.18448960023663333,1.0000339580619133,4.0904864408560566e-5,332.70579883936904,0.18448960023663333,1.0000339580619133,1.0000339580619133
