P0,ndot,tads,alpha,beta,PI,Pl,productivity,energy,purity,recovery
116918.9453125,1.2415771484375,98.7646484375,0.31145019531250007,0.1375732421875,18250.676035881042,5689.453125,0.0002245907726576831,426.2475267896466,0.16236511479162954,1.004955889110292
117138.671875,1.707763671875,310.849609375,0.305517578125,0.29438476562500004,25398.166179656982,9589.84375,8.93040876724308e-5,283.21819326013826,0.22135621591988727,1.0052651678767388
117211.9140625,0.8680419921875,370.0341796875,0.18635253906250002,0.19997558593750003,40409.146189689636,9212.890625,6.170904814235748e-5,284.25481438158715,0.20152893503156447,1.0049360840608776
117431.640625,0.587158203125,102.666015625,0.26186523437500003,0.26186523437500003,29392.014980316162,6082.03125,0.00021349939709844844,425.50619852521277,0.15659560038826043,1.005020917047516
117504.8828125,1.9886474609375,216.3037109375,0.22766113281250003,0.24362792968750002,33224.32792186737,6705.078125,0.00011790367716842833,326.46632609574016,0.2118963897862096,1.0048632380932854
117724.609375,1.540771484375,83.076171875,0.36821289062500007,0.21528320312500002,12221.625804901123,9292.96875,0.0002504430485700759,344.16296233743793,0.16334402474534607,1.0058220777973121
117797.8515625,0.8826904296875,151.5576171875,0.1025634765625,0.27204589843750004,58169.44396495819,9916.015625,0.00013476558196129625,310.8055772122462,0.17069238817883348,1.0077296404047318
118017.578125,1.164306640625,248.095703125,0.326904296875,0.190966796875,15939.591884613037,6785.15625,9.896930923121261e-5,365.9354981106635,0.1834352909306786,1.0050999244821734
118090.8203125,1.2591552734375,347.1240234375,0.14621582031250002,0.32155761718750003,52452.908396720886,6408.203125,7.554212943981985e-5,311.90933610677484,0.22149953043052453,1.0051317593050315
118310.546875,0.787841796875,221.865234375,0.17075195312500002,0.16665039062500003,41751.52921676636,2308.59375,0.00011064988100198698,556.1783858217146,0.1718084658414328,1.0051174517751322
118383.7890625,1.6356201171875,119.0185546875,0.35627441406250004,0.33474121093750003,17587.326884269714,2931.640625,0.0002054301607520249,541.8788990689304,0.17129275881617448,1.0052861252808905
118603.515625,1.917236328125,364.306640625,0.129443359375,0.127099609375,36391.427516937256,5800.78125,8.967506002331371e-5,288.2590898744373,0.2540380996651453,1.0050745343414227
118676.7578125,0.5062255859375,294.6630859375,0.3999267578125001,0.3713623046875001,25944.527506828308,5423.828125,8.353228475104323e-5,435.58640905309414,0.1664019394458927,1.0045391930405205
118896.484375,0.972412109375,227.841796875,0.111572265625,0.120361328125,49183.6314201355,6761.71875,9.379137452657345e-5,340.27584372280774,0.18561836211111493,1.0047247940721504
118969.7265625,1.4393310546875,118.3544921875,0.38029785156250007,0.3646240234375,19076.414942741394,6384.765625,0.0001909348432303627,403.5029122013671,0.16935905167168164,1.0051284569563952
119189.453125,1.345947265625,360.986328125,0.15229492187500002,0.173388671875,56030.55715560913,9253.90625,7.37419376070507e-5,257.57037579440544,0.2282044781973215,1.0049963026437365
119482.421875,1.719482421875,90.380859375,0.34536132812500003,0.18891601562500002,29518.283367156982,5777.34375,0.0002485199424316236,421.0439860820404,0.1656371931477152,1.0050157398910846
119555.6640625,0.6922607421875,149.5654296875,0.16525878906250002,0.31950683593750007,33372.38013744354,5400.390625,0.00015052265612271976,428.0966590214177,0.16338411988216806,1.0049635166828057
119775.390625,0.598876953125,243.447265625,0.386083984375,0.217333984375,21034.8219871521,2269.53125,0.00010476885287121976,599.1574840717944,0.16421784061085698,1.0051550177832866
119848.6328125,1.8128662109375,357.0849609375,0.12219238281250001,0.27409667968750007,38634.880900382996,2892.578125,9.313513649155314e-5,391.6486177347566,0.2439842015138381,1.005200090017071
120068.359375,1.529052734375,308.857421875,0.281494140625,0.264501953125,14787.726879119873,5105.46875,9.487822455924646e-5,383.7511453369562,0.2070084664860817,1.005233124163561
120141.6015625,1.0584716796875,377.3388671875,0.24553222656250004,0.24626464843750004,52893.26751232147,5728.515625,7.231795402542575e-5,362.8961632182959,0.20212737810841758,1.0049312812184543
120361.328125,1.152587890625,112.626953125,0.324560546875,0.291748046875,5943.543910980225,2597.65625,0.00020804515521333033,570.4106948385978,0.16428354782538582,1.0052110485023467
120434.5703125,1.4349365234375,211.6552734375,0.20480957031250002,0.19733886718750002,59750.027537345886,2220.703125,0.00012912376346291008,538.4923453266616,0.1864448843720433,1.0052019960038974
120654.296875,0.776123046875,341.396484375,0.177783203125,0.351806640625,37379.565715789795,6121.09375,6.973488003013185e-5,359.91040111969147,0.19006895724228481,1.0051130377140447
